dissertation_id,aha_dissertation_id,scholar_id,aha_scholar_id,role
659,6554,11433,55053,chair
660,6555,3713,16548,chair
663,6558,25014,119676,chair
668,6563,4847,19577,chair
669,6564,11858,57304,chair
670,6565,30535,137537,chair
675,6570,11062,53315,chair
680,6575,5797,22006,chair
684,6579,20230,98758,chair
685,6580,19843,94743,chair
686,6581,29661,136151,chair
688,6583,25263,120135,chair
689,6584,30724,137766,chair
704,6599,25406,120401,chair
713,6608,5502,21310,chair
713,6608,16134,77426,reader
717,6612,23150,115241,chair
723,6618,19007,89733,chair
724,6619,4529,18732,chair
728,6623,23974,117112,chair
729,6624,1301,8090,chair
732,6628,24972,119595,chair
732,6628,2386,11019,reader
733,6629,6979,33678,chair
740,6636,5534,21400,chair
744,6640,2182,10496,chair
744,6640,3468,15947,reader
748,6644,30274,137223,chair
749,6645,29865,136447,chair
751,6647,3008,12643,chair
752,6648,26784,125839,chair
753,6649,23150,115241,chair
754,6650,3117,12935,chair
755,6651,3682,16469,chair
758,6654,21041,102557,chair
762,6658,4866,19636,chair
763,6659,747,6618,chair
765,6661,30245,137192,chair
767,6663,11706,56597,chair
768,6664,10189,49479,chair
770,6667,12214,58918,chair
773,6670,20042,96978,chair
773,6670,11752,56733,reader
774,6671,11652,56374,chair
777,6675,29762,136320,chair
778,6676,15497,74404,chair
784,6683,27276,126950,chair
786,6685,5188,20525,chair
787,6686,1136,7676,chair
790,6689,25406,120401,chair
791,6690,17623,84045,chair
793,6692,1652,8982,chair
799,6698,27336,127217,chair
804,6703,2780,12057,chair
804,6703,23068,115085,reader
807,6706,27001,126174,chair
808,6707,20564,100232,chair
808,6707,12446,60306,reader
809,6708,7300,36632,chair
809,6708,5677,21719,reader
811,6710,10732,51949,chair
814,6714,24097,117413,chair
815,6715,5471,21229,chair
821,6723,19438,92175,chair
822,6725,10029,48855,chair
827,6730,3390,15760,chair
828,6731,4866,19636,chair
829,6732,27541,128340,chair
830,6733,23117,115177,chair
832,6735,14962,71943,chair
834,6737,30770,137834,chair
837,6740,1563,8749,chair
840,6743,20230,98758,chair
842,6745,5519,21362,chair
844,6747,28781,132531,chair
847,6750,22638,112680,chair
849,6752,16241,77777,chair
850,6753,6353,31185,chair
851,6754,23747,116671,chair
853,6756,6754,32689,chair
861,6764,3027,12691,chair
862,6765,6213,23076,chair
864,6767,13573,64940,chair
864,6767,11902,57418,reader
870,6773,20363,99051,chair
871,6774,13174,63361,chair
872,6775,4917,19748,chair
872,6775,5885,22229,reader
873,6776,1760,9271,chair
874,6777,3476,15964,chair
875,6778,23068,115085,chair
877,6780,18853,89027,chair
878,6781,30768,137832,chair
879,6782,26782,125837,chair
881,6784,1570,8768,chair
883,6786,5991,22512,chair
884,6787,6611,32162,chair
887,6790,13575,64950,chair
888,6791,6985,33718,chair
889,6792,24925,119526,chair
891,6794,17443,83318,chair
892,6795,20684,100825,chair
894,6798,3978,17300,chair
897,6801,4452,18499,chair
898,6802,11987,57842,chair
898,6802,10232,49629,reader
899,6803,14105,67649,chair
902,6806,20503,99956,chair
903,6807,1801,9389,chair
906,6810,21600,105285,chair
907,6811,12274,59287,chair
908,6812,6771,32830,chair
909,6813,1803,9392,chair
914,6818,2854,12251,chair
915,6819,27296,126974,chair
919,6823,28702,132399,chair
922,6826,4282,18080,chair
923,6827,28316,131807,chair
926,6830,2154,10413,chair
929,6833,967,7208,chair
930,6834,4315,18153,chair
931,6835,2656,11726,chair
934,6838,4512,18680,chair
935,6839,6128,22828,chair
936,6840,554,6054,chair
937,6841,28782,132532,chair
940,6844,3300,15521,chair
941,6845,27571,128497,chair
945,6849,668,6390,chair
946,6850,28558,132207,chair
947,6851,28851,132665,chair
953,6857,17611,84001,chair
954,6858,24457,118251,chair
958,6862,4137,17713,chair
958,6862,20956,102103,reader
961,6865,3983,17313,chair
962,6866,13071,62674,chair
967,6871,1570,8768,chair
968,6872,7523,38241,chair
971,6875,4918,19756,chair
971,6875,1349,8212,reader
972,6876,2647,11708,chair
974,6878,25199,120037,chair
975,6879,29668,136158,chair
976,6880,2932,12427,chair
977,6881,30385,137363,chair
980,6884,16191,77614,chair
981,6886,20847,101450,chair
983,6888,9951,48476,chair
984,6889,30327,137298,chair
985,6890,30296,137263,chair
986,6891,25195,120028,chair
988,6893,1025,7351,chair
989,6894,32189,142046,chair
996,6903,25002,119649,chair
1001,6908,2149,10405,chair
1002,6909,28379,131954,chair
1005,6912,13471,64511,chair
1006,6913,5859,22171,chair
1007,6914,10025,48843,chair
1008,6915,31006,138494,chair
1009,6916,4211,17915,chair
1010,6917,30566,137571,chair
1012,6919,13718,65502,chair
1017,6925,29663,136153,chair
1018,6926,5519,21362,chair
1025,6933,1502,8587,chair
1028,6936,5076,20180,chair
1029,6937,5955,22429,chair
1030,6938,3289,15491,chair
1030,6938,6798,32941,reader
1031,6939,4866,19636,chair
1033,6941,10692,51779,chair
1034,6942,30736,137781,chair
1043,6952,4154,17758,chair
1044,6953,5579,21499,chair
1047,6956,7081,35778,chair
1049,6958,373,5541,chair
1050,6959,30487,137477,chair
1051,6960,27290,126968,chair
1055,6964,25310,120219,chair
1059,6968,12117,58546,chair
1063,6972,25139,119941,chair
1073,6982,31022,138559,chair
1074,6983,3133,12978,chair
1075,6984,10161,49394,chair
1077,6986,1687,9074,chair
1078,6987,26810,125880,chair
1078,6987,26822,125904,reader
1079,6988,1734,9199,chair
1082,6991,4496,18634,chair
1082,6991,11054,53213,reader
1085,6994,21834,107362,chair
1086,6995,66,1737,chair
1090,7000,732,6573,chair
1092,7002,26945,126097,chair
1093,7003,26866,125974,chair
1094,7004,13573,64940,chair
1095,7005,10294,49833,chair
1101,7011,19870,94834,chair
1102,7012,21109,102852,chair
1105,7015,16002,76982,chair
1106,7016,6118,22804,chair
1108,7018,3806,16803,chair
1109,7019,4866,19636,chair
1110,7020,12053,58152,chair
1112,7022,30727,137770,chair
1114,7024,523,5969,chair
1116,7026,24542,118526,chair
1118,7028,4295,18102,chair
1121,7031,28679,132367,chair
1122,7032,11706,56597,chair
1123,7033,23640,116401,chair
1124,7034,7246,36428,chair
1128,7038,23542,116051,chair
1135,7045,4094,17607,chair
1137,7047,24969,119590,chair
1138,7048,6391,31315,chair
1138,7048,21364,103786,reader
1139,7049,24789,119161,chair
1140,7051,4597,18908,chair
1142,7053,1264,7993,chair
1143,7054,4003,17369,chair
1144,7055,598,6194,chair
1145,7056,18435,86727,chair
1146,7057,4295,18102,chair
1147,7058,28772,132521,chair
1147,7058,30068,136908,reader
1149,7060,373,5541,chair
1150,7061,30739,137786,chair
1153,7064,30283,137233,chair
1154,7065,820,6802,chair
1155,7066,12898,61814,chair
1156,7067,4850,19586,chair
1157,7068,9511,46489,chair
1158,7069,23103,115157,chair
1160,7071,290,5335,chair
1161,7072,31540,139447,chair
1162,7073,24898,119490,chair
1162,7073,30662,137678,reader
1163,7074,4035,17465,chair
1164,7075,2182,10496,chair
1164,7075,6987,33746,reader
1168,7079,6480,31656,chair
1171,7082,5972,22468,chair
1174,7085,29749,136306,chair
1175,7086,3986,17325,chair
1178,7089,9660,47223,chair
1180,7091,2846,12233,chair
1187,7098,1177,7788,chair
1190,7101,24446,118232,chair
1191,7102,3856,16941,chair
1194,7105,26988,126154,chair
1196,7107,20956,102103,chair
1198,7109,25803,121321,chair
1199,7110,9440,45645,chair
1200,7111,16275,77922,chair
1201,7112,3347,15651,chair
1202,7113,2181,10493,chair
1203,7114,2161,10427,chair
1206,7117,7560,38434,chair
1208,7119,23793,116752,chair
1210,7121,5218,20594,chair
1211,7122,3605,16301,chair
1215,7126,1978,9917,chair
1217,7128,28787,132541,chair
1219,7130,21053,102605,chair
1220,7131,9454,45813,chair
1221,7132,1668,9015,chair
1222,7133,25194,120027,chair
1223,7134,24750,118999,chair
1226,7137,26902,126038,chair
1227,7138,30607,137616,chair
1230,7141,4964,19879,chair
1231,7142,9290,44848,chair
1232,7143,20952,102082,chair
1234,7145,30267,137215,chair
1235,7146,24890,119477,chair
1236,7147,1699,9108,chair
1238,7149,2039,10103,chair
1239,7150,9847,48100,chair
1248,7159,30480,137467,chair
1249,7161,22395,111605,chair
1252,7164,8890,43483,chair
1259,7173,11653,56379,chair
1262,7176,4196,17875,chair
1263,7177,5463,21210,chair
1264,7178,22198,110461,chair
1269,7185,3713,16548,chair
1269,7185,30809,137903,reader
1275,7191,30779,137854,chair
1276,7192,16646,79800,chair
1277,7193,24618,118680,chair
1278,7194,911,7062,chair
1279,7195,12758,61259,chair
1281,7197,24032,117192,chair
1283,7199,20198,98660,chair
1286,7202,13471,64511,chair
1288,7204,4814,19470,chair
1289,7206,10021,48826,chair
1291,7208,23544,116053,chair
1293,7210,4249,18006,chair
1295,7212,3124,12960,chair
1297,7214,6835,33058,chair
1298,7215,1220,7901,chair
1299,7216,30474,137461,chair
1302,7219,4029,17447,chair
1303,7220,1552,8727,chair
1304,7221,26082,121980,chair
1305,7222,4847,19577,chair
1306,7223,27083,126292,chair
1307,7224,24941,119554,chair
1308,7225,13087,62821,chair
1309,7226,19409,91965,chair
1310,7227,4651,19038,chair
1311,7228,30062,136900,chair
1313,7231,4349,18260,chair
1314,7232,23425,115824,chair
1315,7233,7439,37501,chair
1317,7235,900,7028,chair
1319,7238,28773,132522,chair
1320,7239,59473,184836,chair
1321,7240,5885,22229,chair
1322,7241,6213,23076,chair
1324,7243,17341,82712,chair
1325,7244,12810,61491,chair
1326,7245,30720,137762,chair
1328,7247,5217,20593,chair
1329,7248,28772,132521,chair
1330,7249,20956,102103,chair
1335,7254,3565,16206,chair
1339,7258,30059,136897,chair
1341,7260,30249,137196,chair
1343,7262,11980,57826,chair
1343,7262,26768,125805,reader
1346,7265,30336,137307,chair
1347,7266,27278,126952,chair
1350,7269,14552,69659,chair
1352,7271,10172,49426,chair
1354,7273,552,6051,chair
1355,7275,22444,111745,chair
1356,7277,18935,89438,chair
1358,7279,4051,17515,chair
1359,7280,4657,19049,chair
1364,7285,4011,17396,chair
1365,7286,5596,21535,chair
1366,7287,30418,137400,chair
1367,7288,30762,137820,chair
1368,7289,404,5643,chair
1374,7295,23104,115159,chair
